Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
PENANG/BAYAN LEPAS,MY,48601,5.3,100.2667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KOTA BHARU,MY,48615,6.1667,102.3006,2026-02-04,00:00,00Z,345,21,-324,,,18,-328,15,-330,UWYO,OK_ESTIMATED,Nearest level used: 260 mb
KUALA LUMPUR INTERNATIONAL AIR,MY,48650,2.7308,101.7031,2026-02-04,00:00,00Z,13,13,0,,,8,-5,15,2,UWYO,OK_ESTIMATED,Interpolated from 255/193 mb
KUANTAN,MY,48657,3.7722,103.2119,2026-02-04,00:00,00Z,25,21,-4,,,21,-4,23,-3,UWYO,OK,Exact 250 mb level.
SINGAPORE/CHANGI AIRPORT,SG,48698,1.3679,103.9824,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HA NOI,VN,48820,21.0333,105.8,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BACH LONG VI (RADIOSONDE),VN,48839,20.1294,107.7226,2026-02-04,00:00,00Z,49,51,2,,,49,0,49,0,UWYO,OK,Exact 250 mb level.
VINH,VN,48845,18.6667,105.6833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
DA NANG,VN,48855,16.0667,108.35,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
QUY NHON,VN,48870,13.7667,109.2167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
NHA TRANG,VN,48877,12.2167,109.2167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PHAN THIET,VN,48887,10.9333,108.1,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
TAN SON HOA,VN,48900,10.8167,106.6667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
CA MAU,VN,48914,9.1833,105.15,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HAILAR (50527-0),CN,50527,49.25,119.7,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
NENJIANG,CN,50557,49.1667,125.2333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
YICHUN (50774-0),CN,50774,47.7,128.8333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HARBIN (50953-0),CN,50953,45.9333,126.5667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
